,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi,opened_at
622,closed,0.0061,156.0,-0.009688884561078923,1666974240000.0,1666983600000,20665.0,20539.0,1666975980000.0,20738.0,2022-10-28 00:00:00,sell,1m,4,2022-10-28 16:24:00
623,closed,0.0164,38.0,-0.02105008468424873,1667038920000.0,1667041200000,21009.0,20665.0,1667038920000.0,21100.0,2022-10-28 00:00:00,sell,15m,4,2022-10-29 10:22:00
624,open,-0.0549,47797.0,-0.18090185676392573,1667935380000.0,1670803200000,18071.0,18850.0,1669067520000.0,15440.0,2022-10-30 00:00:00,buy,1h,-4,2022-11-08 19:23:00
625,open,-0.094,47873.0,-0.1962101098443438,1667930820000.0,1670803200000,18850.0,19209.0,1669067520000.0,15440.0,2022-10-30 00:00:00,buy,1h,-3,2022-11-08 18:07:00
626,closed,0.0008,1.0,-0.0011964522589538846,1667921340000.0,1667921400000,19209.0,19223.5,1667921340000.0,19200.5,2022-10-30 00:00:00,buy,1h,-2,2022-11-08 15:29:00
627,closed,0.0173,31.0,-0.018203666300207092,1667921340000.0,1667923200000,19223.5,19556.5,1667921340000.0,19200.5,2022-10-30 00:00:00,buy,15m,-4,2022-11-08 15:29:00
628,closed,0.0187,709.0,-0.03621624334906134,1667880660000.0,1667923200000,19556.5,19922.0,1667921340000.0,19200.5,2022-10-30 00:00:00,buy,15m,-3,2022-11-08 04:11:00
629,closed,0.0287,709.0,-0.0630703166935051,1667880660000.0,1667923200000,19922.0,20493.0,1667921340000.0,19200.5,2022-10-30 00:00:00,buy,15m,-2,2022-11-08 04:11:00
630,closed,0.0097,377.0,-0.013242152574728753,1667180580000.0,1667203200000,20493.0,20691.5,1667183100000.0,20417.5,2022-10-30 00:00:00,buy,15m,2,2022-10-31 01:43:00
631,closed,0.0024,74.0,-0.005809608755393776,1667123160000.0,1667127600000,20691.5,20741.5,1667126040000.0,20621.0,2022-10-30 00:00:00,buy,1m,-4,2022-10-30 09:46:00
632,closed,0.0012,95.0,-0.0035874223527712235,1667089500000.0,1667095200000,20741.5,20767.0,1667091660000.0,20692.5,2022-10-30 00:00:00,buy,1m,-3,2022-10-30 00:25:00
633,closed,0.005,220.0,-0.00855253701308035,1667089200000.0,1667102400000,20767.0,20871.0,1667091660000.0,20692.5,2022-10-30 00:00:00,buy,1m,-2,2022-10-30 00:20:00
634,closed,0.005,105.0,-0.00736745798622815,1667110500000.0,1667116800000,20871.0,20767.0,1667113860000.0,20920.0,2022-10-30 00:00:00,sell,1m,2,2022-10-30 06:15:00
635,closed,0.0017,4.0,-0.0023477552584926452,1667113860000.0,1667114100000,20907.5,20871.0,1667113860000.0,20920.0,2022-10-30 00:00:00,sell,1m,3,2022-10-30 07:11:00
