,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
223,closed,0.0038,2446.0,-0.03220618556701031,1660346040000.0,1660492800000,24343.5,24250.0,1660463400000.0,25031.0,2022-08-12 00:00:00,sell,1m,3
240,closed,0.004,14.0,-0.004441260744985674,1660349760000.0,1660350600000,24332.0,24430.0,1660350180000.0,24321.5,2022-08-13 00:00:00,buy,1m,3
241,closed,0.004,436.0,-0.021987506164721355,1660351440000.0,1660377600000,24430.0,24332.0,1660371360000.0,24867.0,2022-08-13 00:00:00,sell,1m,4
224,closed,0.0035,436.0,-0.021504713783966973,1660351440000.0,1660377600000,24430.0,24343.5,1660371360000.0,24867.0,2022-08-12 00:00:00,sell,1m,4
242,closed,0.002,1.0,-0.002537863282848956,1660352340000.0,1660352400000,24480.0,24430.0,1660352400000.0,24492.0,2022-08-13 00:00:00,sell,15m,3
257,closed,0.002,8.0,-0.0021742251758866122,1660435200000.0,1660435680000,24425.0,24376.5,1660435320000.0,24429.5,2022-08-14 00:00:00,sell,1m,-2
256,closed,0.002,22.0,-0.003705220061412487,1660435680000.0,1660437000000,24376.5,24425.0,1660436100000.0,24334.5,2022-08-14 00:00:00,buy,1m,-3
258,closed,0.004,27.0,-0.008188331627430911,1660438980000.0,1660440600000,24523.5,24425.0,1660439280000.0,24625.0,2022-08-14 00:00:00,sell,1m,2
259,closed,0.0011,8.0,-0.004138887189838319,1660439220000.0,1660439700000,24550.0,24523.5,1660439280000.0,24625.0,2022-08-14 00:00:00,sell,1m,3
260,closed,0.001,3.0,-0.003054989816700611,1660439280000.0,1660439460000,24575.0,24550.0,1660439280000.0,24625.0,2022-08-14 00:00:00,sell,1m,4
261,closed,0.0046,57.0,-0.018555442522889116,1660460580000.0,1660464000000,24688.0,24575.0,1660463400000.0,25031.0,2022-08-14 00:00:00,sell,15m,3
225,closed,0.0208,275.0,-0.024600900532132625,1660461900000.0,1660478400000,24950.0,24430.0,1660463400000.0,25031.0,2022-08-12 00:00:00,sell,15m,4
243,closed,0.0188,275.0,-0.022508169934640523,1660461900000.0,1660478400000,24950.0,24480.0,1660463400000.0,25031.0,2022-08-13 00:00:00,sell,15m,4
